CBSA Code,CBSA Title,county_fips,County/County Equivalent,State Name,cbsa_title_clean,cbsa_title,population_2024
40060,"Richmond, VA",51053,Dinwiddie County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51075,Goochland County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51085,Hanover County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51087,Henrico County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51097,King and Queen County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51101,King William County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51127,New Kent County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51145,Powhatan County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51149,Prince George County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51183,Sussex County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51570,Colonial Heights city,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51670,Hopewell city,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51730,Petersburg city,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51760,Richmond city,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40140,"Riverside-San Bernardino-Ontario, CA",06065,Riverside County,California,"Riverside-San Bernardino-Ontario, CA",".Riverside-San Bernardino-Ontario, CA Metro Area",4744214.0
40140,"Riverside-San Bernardino-Ontario, CA",06071,San Bernardino County,California,"Riverside-San Bernardino-Ontario, CA",".Riverside-San Bernardino-Ontario, CA Metro Area",4744214.0
40220,"Roanoke, VA",51023,Botetourt County,Virginia,"Roanoke, VA",".Roanoke, VA Metro Area",315749.0
40220,"Roanoke, VA",51045,Craig County,Virginia,"Roanoke, VA",".Roanoke, VA Metro Area",315749.0
40220,"Roanoke, VA",51067,Franklin County,Virginia,"Roanoke, VA",".Roanoke, VA Metro Area",315749.0
40220,"Roanoke, VA",51161,Roanoke County,Virginia,"Roanoke, VA",".Roanoke, VA Metro Area",315749.0
40220,"Roanoke, VA",51770,Roanoke city,Virginia,"Roanoke, VA",".Roanoke, VA Metro Area",315749.0
40220,"Roanoke, VA",51775,Salem city,Virginia,"Roanoke, VA",".Roanoke, VA Metro Area",315749.0
40340,"Rochester, MN",27039,Dodge County,Minnesota,"Rochester, MN",".Rochester, MN Metro Area",230742.0
40340,"Rochester, MN",27045,Fillmore County,Minnesota,"Rochester, MN",".Rochester, MN Metro Area",230742.0
40340,"Rochester, MN",27109,Olmsted County,Minnesota,"Rochester, MN",".Rochester, MN Metro Area",230742.0
40340,"Rochester, MN",27157,Wabasha County,Minnesota,"Rochester, MN",".Rochester, MN Metro Area",230742.0
40380,"Rochester, NY",36051,Livingston County,New York,"Rochester, NY",".Rochester, NY Metro Area",1057218.0
40380,"Rochester, NY",36055,Monroe County,New York,"Rochester, NY",".Rochester, NY Metro Area",1057218.0
40380,"Rochester, NY",36069,Ontario County,New York,"Rochester, NY",".Rochester, NY Metro Area",1057218.0
40380,"Rochester, NY",36073,Orleans County,New York,"Rochester, NY",".Rochester, NY Metro Area",1057218.0
40380,"Rochester, NY",36117,Wayne County,New York,"Rochester, NY",".Rochester, NY Metro Area",1057218.0
40420,"Rockford, IL",17007,Boone County,Illinois,"Rockford, IL",".Rockford, IL Metro Area",337103.0
40420,"Rockford, IL",17201,Winnebago County,Illinois,"Rockford, IL",".Rockford, IL Metro Area",337103.0
40580,"Rocky Mount, NC",37065,Edgecombe County,North Carolina,"Rocky Mount, NC",".Rocky Mount, NC Metro Area",147114.0
40580,"Rocky Mount, NC",37127,Nash County,North Carolina,"Rocky Mount, NC",".Rocky Mount, NC Metro Area",147114.0
40660,"Rome, GA",13115,Floyd County,Georgia,"Rome, GA",".Rome, GA Metro Area",101390.0
40900,"Sacramento-Roseville-Folsom, CA",06017,El Dorado County,California,"Sacramento-Roseville-Folsom, CA",".Sacramento-Roseville-Folsom, CA Metro Area",2463127.0
