"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1225990203","Kindred Speech and Language","3"
"1235160326","Kramer CPAP Supplies","3"
"1245185404","Valley View Transportation","3"
"1245185990","RUSH Physical Therapy","3"
"1255286902","RUSH Physical Therapy","3"
"1285589945","RUSH Physical Therapy","3"
"1306406236","Eyes on Hayden","3"
"1316932726","JEAN SISTERS FAMILY MEDICINE & GERIATRICS","5"
"1356469662","Friends Assisting Seniors and Families","3"
"1366091977","Bone & Joint Clinic S.C. @ Plover","3"
"1366646010","North Henry Dialysis","3"
"1417529231","LABORATORIO CLINICO TERESITA","3"
"1447916259","BJOSC, LLC @ Westwood","3"
"1457206120","RUSH Physical Therapy","3"
"1467550707","LEE COUNTY EMS","3"
"1487724803","Eye Wear Associates","3"
"1497218713","CSI Staffing","3"
"1528913225","RUSH Physical Therapy","3"
"1619822384","RUSH Physical Therapy","3"
"1629923891","RUSH Physical Therapy","3"
"1669744801","Plant City Imaging","3"
"1699620864","RUSH Physical Therapy","3"
"1710832423","RUSH Physical Therapy","3"
"1730826363","Forth Space","3"
"1750236428","RUSH Physical Therapy","3"
"1750630273","JONATHAN'S PHARMACY","3"
"1750630273","Jonathan's Pharmacy","3"
"1750654000","Women's Imaging Center","3"
"1801351614","Mid Valley Nursing & Rehabilitation","3"
"1821168253","Eye Wear Associates","3"
"1851724199","Friends Assisting Seniors and Families","3"
"1912883067","Clear Recovery Residential","3"
"1922891035","WITHWELLBEING LLC","3"
